"","year","Name","Surge","MaxWindSpeed","RainfallPointMax","Tornado","Radius","Pressure","Surge_Z","MaxWindSpeed_Z","RainfallPointMax_Z","Tornado_Z","Pressure_Z","Radius_Z"
"43",2004,"BONNIE",1.9,40,154.178,16,15,1002,-0.970767571951843,-0.954542080853955,-1.02846435207578,-0.0300023725891215,0.965725375018981,-0.788489891496689
"44",2010,"BONNIE",1.9,40,146.05,NA,0,1005,-0.970767571951843,-0.954542080853955,-1.06261732234423,NA,1.08675041560952,-1.01237453097519
"45",2016,"BONNIE",1.9,30,354.33,NA,0,1007,-0.970767571951843,-1.3187662511701,-0.187447459215195,NA,1.16743377600321,-1.01237453097519
"46",1993,"BRET",NA,50,NA,NA,NA,1002,NA,-0.590317910537811,NA,NA,0.965725375018981,NA
"47",1999,"BRET",NA,100,334.772,5,NA,951,NA,1.23080294104291,-0.269628043923653,-0.536042390258972,-1.09170031502017,NA
"48",2005,"BRET",NA,35,NA,NA,0,1005,NA,-1.13665416601203,NA,NA,1.08675041560952,-1.01237453097519
"49",2017,"BRET",NA,45,NA,NA,0,1008,NA,-0.772429995695883,NA,NA,1.20777545620006,-1.01237453097519
"50",1996,"CESAR",NA,75,NA,NA,NA,985,NA,0.32024251525255,NA,NA,0.279916811672597,NA
"51",2004,"CHABA",5.15,80,NA,NA,NA,950,-0.273189359199014,0.502354600410622,NA,NA,-1.13204199521702,NA
"52",2016,"CHABA",5.15,97.192,NA,NA,NA,930,-0.273189359199014,1.12852879401814,NA,NA,-1.93887559915394,NA
"53",1989,"CHANTAL",NA,70,508,NA,NA,986,NA,0.138130430094478,0.45825713492269,NA,0.320258491869443,NA
"54",2001,"CHANTAL",NA,60,508.762,NA,NA,999,NA,-0.226093740221666,0.461458975885358,NA,0.844700334428443,NA
"55",2016,"CHANTHU",NA,55,NA,NA,NA,980,NA,-0.408205825379738,NA,NA,0.0782084106883662,NA
"56",1986,"CHARLEY",13.12,65,218.694,NA,NA,990,1.437487057921,-0.0439816550635943,-0.757375150569957,NA,0.481625212656828,NA
"57",1992,"CHARLEY",13.12,55,NA,NA,NA,981,1.437487057921,-0.408205825379738,NA,NA,0.118550090885212,NA
"58",1998,"CHARLEY",13.12,40,483.87,NA,NA,1000,1.437487057921,-0.954542080853955,0.356865504438229,NA,0.885042014625289,NA
"59",2004,"CHARLEY",13.12,130,250.952,20,75,941,1.437487057921,2.32347545199134,-0.621830549817046,0.154012179290824,-1.49511711698863,0.107048666417316
"60",2002,"CHATAAN",NA,55,NA,NA,NA,970,NA,-0.408205825379738,NA,NA,-0.325208391280095,NA
"61",2003,"CHOI-WAN",NA,60,NA,NA,NA,975,NA,-0.226093740221666,NA,NA,-0.123499990295865,NA
"62",1988,"CHRIS",NA,40,194.056,NA,NA,1005,NA,-0.954542080853955,-0.860901341696197,NA,1.08675041560952,NA
"63",2018,"CIMARON",NA,75,NA,NA,NA,970,NA,0.32024251525255,NA,NA,-0.325208391280095,NA
"64",1993,"CINDY",NA,35,116.84,NA,NA,1009,NA,-1.13665416601203,-1.18535455924647,NA,1.2481171363969,NA
"65",2005,"CINDY",NA,65,241.3,48,30,991,NA,-0.0439816550635943,-0.66238720201083,1.44211404245044,0.521966892853674,-0.564605252018188
"66",2017,"CINDY",NA,45,474.726,18,80,991,NA,-0.772429995695883,0.318443412886223,0.0620049033508513,0.521966892853674,0.181676879576817
"67",2003,"CLAUDETTE",3,80,168.148,2,NA,979,-0.73466417686627,0.502354600410622,-0.969763934426882,-0.674053304168932,0.0378667304915201,NA
"68",2009,"CLAUDETTE",3,40,149.352,NA,30,1005,-0.73466417686627,-0.954542080853955,-1.04874267817267,NA,1.08675041560952,-0.564605252018188
