"","Name","Time","Latitude","Longitude","MaxWindSpeed","CentPressure","Rainfall","Surge","RainfallCumulativeCMORPHDay0","RainfallCumulativeCMORPHDay1","RainfallCumulativeCMORPHDay2","RainfallCumulativeCMORPHDay3","RainfallCumulativeCMORPHDay4"
"124","UNNAMED1999","1999-07-03",20.5,-97,30,1004,NA,3.28,NA,NA,NA,NA,NA
"125","BRET1999","1999-08-23",26.9,-97.4,100,951,NA,NA,NA,NA,NA,NA,NA
"126","DENNIS1999","1999-08-28",26.6,-76.8,75,976,505.714,NA,NA,NA,NA,NA,NA
"127","DENNIS1999","1999-09-04",34.8,-76.5,60,984,NA,NA,NA,NA,NA,NA,NA
"128","UNNAMED1999","1999-09-06",23.2,-97.7,30,1006,NA,3.28,NA,NA,NA,NA,NA
"129","FLOYD1999","1999-09-14",25.4,-76.3,105,930,NA,5.28,NA,NA,NA,NA,NA
"130","FLOYD1999","1999-09-14",26.3,-77.1,110,932,NA,5.28,NA,NA,NA,NA,NA
"131","FLOYD1999","1999-09-16",33.8,-78,90,956,NA,5.28,NA,NA,NA,NA,NA
"132","HARVEY1999","1999-09-21",25.9,-81.7,50,999,260.096,NA,NA,NA,NA,NA,NA
"133","IRENE1999","1999-10-14",21.3,-82.9,60,997,443.23,7.09,NA,NA,NA,NA,NA
"134","IRENE1999","1999-10-14",22.7,-82.5,60,986,NA,7.09,NA,NA,NA,NA,NA
"135","IRENE1999","1999-10-15",24.6,-81.6,65,987,NA,7.09,NA,NA,NA,NA,NA
"136","IRENE1999","1999-10-15",25.3,-81.1,70,987,NA,7.09,NA,NA,NA,NA,NA
"137","JOSE1999","1999-10-20",17.1,-61.7,80,982,166.116,NA,NA,NA,NA,NA,NA
"138","JOSE1999","1999-10-21",18.4,-64.6,60,996,NA,NA,NA,NA,NA,NA,NA
"139","KATRINA1999","1999-10-30",13.8,-83.4,35,999,160.528,4,NA,NA,NA,NA,NA
"140","LENNY","1999-11-17",17.4,-64.8,135,933,866.648,17.5,NA,NA,NA,NA,NA
"141","LENNY","1999-11-18",18,-63.3,110,966,371.856,17.5,NA,NA,NA,NA,NA
"142","LENNY","1999-11-19",18.1,-63.1,85,975,NA,17.5,NA,NA,NA,NA,NA
"143","LENNY","1999-11-19",18,-62.9,75,979,NA,17.5,NA,NA,NA,NA,NA
"144","LENNY","1999-11-20",17.3,-61.8,55,994,NA,17.5,NA,NA,NA,NA,NA
"145","DEBBY2000","2000-08-22",17.5,-61.7,65,993,NA,4.49,NA,NA,NA,NA,NA
"146","DEBBY2000","2000-08-22",17.9,-62.8,65,993,NA,4.49,NA,NA,NA,NA,NA
"147","DEBBY2000","2000-08-22",18.5,-64.4,65,994,NA,4.49,NA,NA,NA,NA,NA
"148","UNNAMED2000","2000-09-09",29.9,-93.9,25,1009,NA,3.28,NA,NA,NA,NA,NA
"149","GORDON2000","2000-09-18",29.3,-83.2,55,991,NA,NA,NA,NA,NA,NA,NA
"150","HELENE2000","2000-09-22",30.5,-86.6,35,1006,243.84,1,NA,NA,NA,NA,NA
"151","KEITH2000","2000-10-02",17.9,-88,65,988,NA,5,NA,NA,NA,NA,NA
"152","KEITH2000","2000-10-03",17.9,-88.2,60,990,NA,5,NA,NA,NA,NA,NA
"153","KEITH2000","2000-10-05",22.6,-97.9,80,980,NA,5,NA,NA,NA,NA,NA
"154","ALLISON2001","2001-06-05",28.9,-95.3,45,1003,NA,3,NA,NA,NA,NA,NA
"155","ALLISON2001","2001-06-11",29.6,-91.6,30,1004,NA,3,NA,NA,NA,NA,NA
"156","BARRY2001","2001-08-06",30.4,-86.3,60,990,NA,4,NA,NA,NA,NA,NA
"157","PABUK","2001-08-21",33.5,135.5,55,970,41.5,NA,NA,NA,NA,NA,NA
"158","CHANTAL2001","2001-08-21",18.1,-87.8,60,999,60.198,NA,NA,NA,NA,NA,NA
"159","PABUK","2001-08-22",34.8,138.8,45,982,13,NA,NA,NA,NA,NA,NA
"160","NARI2001","2001-09-06",26.1,127.6,50,985,0,NA,NA,NA,NA,NA,NA
"161","NARI2001","2001-09-07",26.3,127.8,60,975,1,NA,NA,NA,NA,NA,NA
"162","DANAS2001","2001-09-11",35.2,139.5,55,970,99.5,NA,NA,NA,NA,NA,NA
"163","NARI2001","2001-09-12",26.4,126.8,60,975,NA,NA,NA,NA,NA,NA,NA
"164","GABRIELLE2001","2001-09-14",27.1,-82.6,60,983,NA,NA,NA,NA,NA,NA,NA
"165","UNNAMED2001","2001-09-20",13.9,-83.5,30,1006,NA,3.28,NA,NA,NA,NA,NA
"166","IRIS2001","2001-10-09",16.3,-88.4,125,948,NA,15,NA,NA,NA,NA,NA
"167","KAREN2001","2001-10-15",44.2,-64.8,40,998,NA,NA,NA,NA,NA,NA,NA
"168","MICHELLE","2001-11-04",21.5,-81.8,120,949,126.746,10,NA,NA,NA,NA,NA
"169","MICHELLE","2001-11-04",22.1,-81.2,115,950,NA,10,NA,NA,NA,NA,NA
"170","MICHELLE","2001-11-05",24.3,-78,80,974,NA,10,NA,NA,NA,NA,NA
"171","MICHELLE","2001-11-05",25.4,-76.4,75,980,NA,10,NA,NA,NA,NA,NA
"172","NOGURI","2002-06-09",24.6,125.3,60,975,0,NA,NA,NA,NA,NA,NA
"173","RAMMASUN","2002-06-29",11.3,136.2,38.8768,996,0,NA,NA,NA,NA,NA,NA
"174","RAMMASUN","2002-06-30",13.3,134.6,50.53984,985,1.5,NA,NA,NA,NA,NA,NA
"175","RAMMASUN","2002-07-01",16.2,132.7,60.25904,975,22,NA,NA,NA,NA,NA,NA
"176","RAMMASUN","2002-07-02",20.2,128.8,69.97824,965,18,NA,NA,NA,NA,NA,NA
"177","RAMMASUN","2002-07-03",24.7,125.3,85,945,NA,NA,NA,NA,NA,NA,NA
"178","RAMMASUN","2002-07-04",25.6,124.8,85.52896,945,14,NA,NA,NA,NA,NA,NA
"179","RAMMASUN","2002-07-05",29.8,124.2,73.86592,955,215,NA,NA,NA,NA,NA,NA
"180","RAMMASUN","2002-07-06",34.5,125.2,48.596,980,2,NA,NA,NA,NA,NA,NA
"181","CHATAAN","2002-07-10",34.9,139.7,55,970,27,NA,NA,NA,NA,NA,NA
"182","CHATAAN","2002-07-11",43,144.5,45,980,0,NA,NA,NA,NA,NA,NA
"183","HALONG2002","2002-07-14",26.2,127.6,70,960,0,NA,NA,NA,NA,NA,NA
"184","HALONG2002","2002-07-16",34.6,138.7,60,975,13.5,NA,NA,NA,NA,NA,NA
"185","FENGSHEN","2002-07-25",30.3,130.9,55,970,0,NA,NA,NA,NA,NA,NA
"186","BERTHA2002","2002-08-05",29.4,-89.3,35,1008,NA,NA,NA,NA,NA,NA,NA
"187","BERTHA2002","2002-08-09",27.3,-97.4,20,1011,NA,NA,NA,NA,NA,NA,NA
"188","PHANFONE2002","2002-08-19",32.9,139.9,65,965,434.086,NA,NA,NA,NA,NA,NA
"189","RUSA","2002-08-23",16.5,161,34.98912,1000,13,NA,NA,NA,NA,NA,NA
"190","RUSA","2002-08-24",19.1,156,50.53984,985,6.5,NA,NA,NA,NA,NA,NA
