"","X","h_name","h_id","datetime","lat","lon","radius","windspeed_max","pressure_min","wind_34_ne","wind_34_se","wind_34_sw","wind_50_ne","wind_50_se","wind_50_sw","wind_50_nw","wind_64_ne","wind_64_se","wind_64_sw","wind_64_nw","rainfall","year","point_max","location"
"154",152,"IRENE","AL092011","2011-08-21 23:00:00","17.8N","64.6W",280,100,950,250,280,160,150,150,90,80,80,80,80,50,1184.637,"2011",NA,NA
"155",153,"IRENE","AL131999","1999-10-14 12:00:00","21.3N","81.1W",0,70,986,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"1999",NA,NA
"156",154,"IRIS","AL101995","1995-08-27 18:00:00","17.0N","61.9W",0,55,993,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"1995",NA,NA
"157",155,"IRIS","AL112001","2001-10-09 02:00:00","16.3N","88.4W",0,125,948,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"2001",NA,NA
"158",156,"IRMA","AL112017","2017-09-06 05:00:00","17.7N","61.8W",330,155,914,330,190,220,130,130,80,110,70,70,70,60,0,"2017",21.66,"Fort Pierce Water Plant, FL"
"159",157,"ISAAC","AL092012","2012-08-25 06:00:00","18.3N","72.7W",180,70,966,180,150,180,90,90,60,50,50,50,50,0,698.145,"2012",26.71,"Pascagoula, MS"
"160",158,"ISABEL","AL111985","1985-10-10 21:00:00","30.6N","81.4W",0,35,1008,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"1985",NA,NA
"161",159,"ISABEL","AL132003","2003-09-18 17:00:00","34.9N","76.2W",0,90,957,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"2003",20.2,"Upper Sherando,
  VA"
"162",160,"ISIDORE","AL102002","2002-09-20 21:00:00","21.3N","84.1W",0,110,936,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"2002",NA,NA
"163",161,"IVAN","AL092004","2004-09-16 06:00:00","29.8N","87.9W",0,105,946,0,0,0,0,0,0,0,0,0,0,0,118.338,"2004",NA,NA
