"Name","Time","Latitude","Longitude","MaxWindSpeed","CentPressure","Rainfall","Surge"
"200","CHARLEY",2004-08-14,33.8,-78.7,65,997,216.9201626703,13.12
"201","FRANCES",2004-09-02,24,-74.5,110,948,551.6138646,NA
"202","FRANCES",2004-09-03,24.6,-75.6,100,954,NA,NA
"203","FRANCES",2004-09-03,25.1,-76.1,95,956,NA,NA
"204","FRANCES",2004-09-04,26.6,-78.2,90,961,187.6472121,NA
"205","FRANCES",2004-09-05,27.2,-80.2,90,960,333.366661809,NA
"206","FRANCES",2004-09-06,30.1,-84,50,982,66.0833345571,NA
"207","GASTON",2004-08-29,33,-79.6,65,985,74.711109333,NA
"208","HERMINE",2004-08-31,41.5,-70.9,35,1012,22.179167673,3.4
"209","IVAN",2004-09-16,30.2,-87.9,105,946,115.6208415,10
"210","IVAN",2004-09-24,29.8,-93.6,30,1004,20.4895814232,10
"211","JEANNE",2004-09-14,16.2,-61.3,30,1009,728.3742855,6
"212","JEANNE",2004-09-15,18,-66,60,991,122.582637144,6
"213","JEANNE",2004-09-16,18.6,-68.3,70,985,319.766666961,6
"214","JEANNE",2004-09-25,26.7,-77.3,100,956,348.5854074,6
"215","JEANNE",2004-09-26,27.2,-80.2,105,950,294.0555269898,6
"216","MATTHEW",2004-10-10,29.2,-91,35,999,32.4249973002,5.85
"217","ARLENE",2005-06-10,21.8,-84.5,45,1000,43.0388909517,5
"218","ARLENE",2005-06-11,30.3,-87.5,50,991,93.1500128961,5
"219","BRET",2005-06-29,20.8,-97.3,35,1005,158.6909628291,NA
"220","CINDY",2005-07-04,19,-87.6,30,1007,37.061111286,NA
"221","CINDY",2005-07-06,29.2,-90.1,65,991,149.5083123,NA
"222","CINDY",2005-07-06,30.2,-89.5,45,995,318.941688984,NA
"223","DENNIS",2005-07-04,12.1,-61.6,30,1010,NA,NA
"224","DENNIS",2005-07-08,19.9,-77.6,120,956,NA,NA
"225","DENNIS",2005-07-08,22.1,-80.7,120,941,187.8194570631,NA
"226","DENNIS",2005-07-10,30.4,-87.1,105,946,NA,NA
"227","EMILY",2005-07-14,12,-61.8,75,989,313.7083380198,15
"228","EMILY",2005-07-18,20.3,-87.4,115,955,74.1250006914,15
"229","EMILY",2005-07-20,24.8,-97.6,110,944,139.7729191002,15
"230","GERT",2005-07-25,21.8,-97.6,40,1005,85.583329968,3
"231","JOSE",2005-08-23,19.7,-96.4,50,998,155.5972335,NA
"232","KATRINA",2005-08-25,26,-80.1,70,984,216.6889027914,4
"233","KATRINA",2005-08-29,29.3,-89.6,110,920,172.766667537,4
"234","KATRINA",2005-08-29,30.2,-89.6,105,928,252.6208104003,4
"235","OPHELIA",2005-09-06,26.6,-78.3,25,1010,51.730557138,NA
"236","RITA",2005-09-24,29.7,-93.7,100,937,421.6368051,1.2
"237","STAN",2005-10-02,19.6,-87.5,35,1003,34.8958342944,NA
"238","STAN",2005-10-04,18.6,-94.9,70,977,NA,NA
"239","TAMMY",2005-10-05,30.4,-81.4,45,1002,NA,NA
"240","VINCE",2005-10-11,37.2,-7.1,30,1002,5.504165511,NA
"241","WILMA",2005-10-21,20.6,-86.8,130,927,260.9062179,12
"242","WILMA",2005-10-22,20.8,-86.9,115,933,234.410418,12
"243","WILMA",2005-10-24,25.9,-81.7,105,950,95.535397839,12
"244","ALPHA",2005-10-23,18.3,-71.3,45,1000,297.6382168167,NA
"245","BETA",2005-10-30,12.9,-83.5,90,970,184.502784948,NA
"246","ALBERTO",2006-06-13,29.9,-83.7,40,998,22.2770818257,NA
"247","BERYL",2006-07-21,41.3,-70.1,45,1000,18.489583065,NA
"248","ERNESTO",2006-08-28,19.9,-75.5,35,1005,152.1111231654,1
"249","ERNESTO",2006-08-30,24.9,-80.6,40,1003,NA,1
"250","ERNESTO",2006-08-30,25.2,-80.7,40,1003,279.0930666804,1
"251","ERNESTO",2006-09-01,33.9,-78.1,60,985,NA,1
"252","BARRY",2007-06-02,27.5,-82.7,30,1000,134.7749934978,4
"253","DEAN",2007-08-21,18.7,-87.7,150,905,433.8714892491,18
"254","DEAN",2007-08-22,20.5,-97,85,974,382.740372915,18
"255","ERIN",2007-08-16,28,-96.9,30,1006,186.491669337,3.1
"256","FELIX",2007-09-01,12.1,-61.7,45,1001,196.6625136,18
"257","FELIX",2007-09-04,14.3,-83.2,140,934,327.2528082957,18
"258","GABRIELLE",2007-09-09,34.8,-76.4,50,1005,100.188904155,NA
"259","HUMBERTO",2007-09-13,29.6,-94.3,80,985,125.522223,NA
"260","TEN",2007-09-22,30.4,-86.7,25,1006,20.237500038,NA
"261","LORENZO",2007-09-28,20.5,-97,65,993,516.718722279,NA
"262","NOEL",2007-10-29,18.1,-72.5,45,1002,29.111109435,NA
"263","NOEL",2007-10-30,21.1,-75.8,50,997,39.147919056,NA
"264","NOEL",2007-11-01,24.1,-77.9,50,993,NA,NA
"265","NOEL",2007-11-01,25,-77.4,55,992,89.6888979081,NA
"266","OLGA",2007-12-11,18.4,-66.5,40,1005,69.1416577944,NA
"267","OLGA",2007-12-11,18.5,-68.4,50,1003,51.79166277,NA
"268","ARTHUR",2008-05-31,17.9,-88.2,40,1004,62.6750052,NA
"269","DOLLY",2008-07-21,20.8,-87,45,1007,66.1909719645,4
"270","DOLLY",2008-07-23,26.4,-97.2,75,967,113.368741506,4
"271","DOLLY",2008-07-23,26.4,-97.4,70,967,NA,4
"272","EDOUARD",2008-08-05,29.6,-94.2,55,996,80.133324669,NA
"273","FAY",2008-08-15,18.5,-68.4,35,1009,216.974972655,NA
"274","FAY",2008-08-16,18.8,-72.8,40,1007,184.926370176,NA
"275","FAY",2008-08-17,19.9,-77.4,45,1004,NA,NA
"276","FAY",2008-08-18,22.1,-80.8,45,1003,22.7416694931,NA
"277","FAY",2008-08-18,24.5,-81.8,50,998,210.636129276,NA
"278","FAY",2008-08-19,25.9,-81.6,55,991,NA,NA
"279","FAY",2008-08-21,29.3,-81.1,55,993,26.429167479,NA
"280","FAY",2008-08-23,29.8,-84.7,45,997,129.13958724,NA
"281","GUSTAV",2008-08-26,18.1,-72.8,70,992,327.5916762267,4.43
"282","GUSTAV",2008-08-28,18,-76.2,60,984,470.523626157,4.43
"283","GUSTAV",2008-08-29,17.9,-77.2,60,987,156.739587894,4.43
"284","GUSTAV",2008-08-30,21.6,-82.5,125,943,131.466669408,4.43
"285","GUSTAV",2008-08-30,22.4,-83.1,135,941,NA,4.43
"286","GUSTAV",2008-09-01,29.2,-90.7,90,954,254.5874835,4.43
"287","HANNA",2008-09-02,21.8,-72.3,75,977,314.1194337,NA
"288","HANNA",2008-09-03,21.7,-71.8,50,994,268.1930287002,NA
"289","HANNA",2008-09-06,33.8,-78.7,60,981,204.37778292,NA
"290","IKE",2008-09-07,21,-73.2,110,947,236.473608804,1.15
"291","IKE",2008-09-08,21.1,-75.7,115,945,110.083329,1.15
"292","IKE",2008-09-09,22.6,-82.9,70,965,NA,1.15
"293","IKE",2008-09-13,29.3,-94.7,95,950,224.3763827463,1.15
"294","KYLE",2008-09-29,43.8,-66.2,65,985,51.4305586104,NA
"295","MARCO",2008-10-07,19.9,-96.5,55,998,173.766652173,2.5
"296","SIXTEEN",2008-10-15,15.8,-84.5,25,1005,86.2687593117,NA
"297","PALOMA",2008-11-09,20.7,-78,85,970,302.92636776,8
"298","BILL",2009-08-24,46.9,-56,60,976,39.9861063111,3.1
"299","CLAUDETTE",2009-08-17,30.4,-86.5,40,1005,12.189583251,3
"300","ERIKA",2009-09-02,16.3,-61.3,35,1008,141.6395863737,NA
"301","IDA",2009-11-05,12.9,-83.6,70,985,NA,6.53
"302","ALEX",2010-06-27,17.5,-88.2,55,995,539.488911825,NA
"303","ALEX",2010-07-01,24.2,-97.7,95,946,351.9659535,NA
"304","TWO",2010-07-08,26.1,-97.1,30,1006,NA,NA
"305","BONNIE",2010-07-22,23,-75.7,35,1006,65.845144104,1.9
"306","BONNIE",2010-07-23,23.7,-77.5,40,1005,12.473610402,1.9
"307","BONNIE",2010-07-23,25.4,-80.2,35,1007,14.974999101,1.9
"308","EARL",2010-09-04,44.3,-64.5,65,962,45.1861014,NA
"309","EARL",2010-09-04,46,-62.7,60,967,30.8166656211,NA
"310","HERMINE",2010-09-07,25.3,-97.4,60,989,79.038885,3.4
"311","IGOR",2010-09-21,46.6,-53.2,75,950,37.4916547527,3.5
"312","KARL",2010-09-15,18.5,-87.8,55,991,541.295167416,NA
"313","KARL",2010-09-17,19.3,-96.2,100,976,278.666677878,NA
"314","MATTHEW",2010-09-24,14.7,-83.3,50,998,406.5381846687,5.85
"315","MATTHEW",2010-09-25,16.5,-88.4,35,1000,80.397222636,5.85
"316","PAULA",2010-10-11,15,-83.2,45,1004,543.043667373,NA
"317","PAULA",2010-10-14,22.7,-83.9,55,1000,148.395854937,NA
"318","RICHARD",2010-10-25,17.2,-88.3,85,977,310.9361098215,NA
"319","TOMAS",2010-10-30,13,-59.5,60,997,568.681941,NA
"320","TOMAS",2010-10-30,13.4,-61.2,85,987,183.0666699,NA
"321","TOMAS",2010-11-06,21.7,-71.6,60,992,89.1944448,NA
"322","ARLENE",2011-06-30,21.6,-97.4,55,993,NA,5
