"","X","h_name","h_id","datetime","lat","lon","radius","windspeed_max","pressure_min","wind_34_ne","wind_34_se","wind_34_sw","wind_50_ne","wind_50_se","wind_50_sw","wind_50_nw","wind_64_ne","wind_64_se","wind_64_sw","wind_64_nw","rainfall","year","name_lower"
"255",255,"HERMINE","AL092016","2016-09-02 05:00:00","30.1N","84.1W",150,70,981,130,150,60,70,70,40,30,30,30,30,0,0,"2016","hermine"
"256",256,"HERMINE","AL102010","2010-09-07 02:00:00","25.3N","97.4W",90,60,989,90,60,30,20,20,0,0,0,0,0,0,0,"2010","hermine"
"257",257,"HORTENSE","AL081996","1996-09-10 06:00:00","18.0N","66.9W",0,70,989,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"1996","hortense"
"258",258,"HORTENSE","AL081996","1996-09-15 03:00:00","44.8N","62.5W",0,70,978,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"1996","hortense"
"259",259,"HUGO","AL111989","1989-09-17 05:00:00","16.3N","61.3W",0,120,941,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"1989","hugo"
"260",260,"HUGO","AL111989","1989-09-18 06:00:00","17.7N","64.8W",0,120,940,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"1989","hugo"
"261",261,"HUGO","AL111989","1989-09-18 12:00:00","18.2N","65.5W",0,110,945,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"1989","hugo"
"262",262,"HUGO","AL111989","1989-09-18 13:00:00","18.3N","65.6W",0,110,946,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"1989","hugo"
"263",263,"HUGO","AL111989","1989-09-22 04:00:00","32.8N","79.8W",0,120,934,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"1989","hugo"
"264",264,"HUMBERTO","AL092007","2007-09-13 07:00:00","29.6N","94.3W",0,80,985,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"2007","humberto"
"265",265,"IDA","AL112009","2009-11-05 12:00:00","12.9N","83.6W",60,70,985,60,50,50,30,30,15,25,15,15,15,10,260.899,"2009","ida"
"266",266,"IGOR","AL112010","2010-09-21 15:00:00","46.6N","53.2W",400,75,950,400,350,350,200,200,140,160,75,75,75,75,0,"2010","igor"
"267",267,"IKE","AL092008","2008-09-07 13:00:00","21.0N","73.2W",140,110,947,140,120,125,90,90,50,75,50,50,50,50,0,"2008","ike"
"268",268,"IKE","AL092008","2008-09-08 02:00:00","21.1N","75.7W",150,115,945,150,140,125,90,90,50,75,50,50,50,50,0,"2008","ike"
"269",269,"IKE","AL092008","2008-09-09 14:00:00","22.6N","82.9W",170,70,965,155,155,170,90,90,30,90,30,30,30,30,0,"2008","ike"
