"","date","hours","id","status","lat","lon","windspeed_max","pressure_min","wind_34_ne","wind_34_se","wind_34_sw","wind_34_nw","wind_50_ne","wind_50_se","wind_50_sw","wind_50_nw","wind_64_ne","wind_64_se","wind_64_sw","wind_64_nw","h_name"
"65","19800803","1800","","HU","12.9N","57.5W","95","965","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","ALLEN"
"66","19800804","0000","","HU","13.3N","59.1W","110","950","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","ALLEN"
"67","19800804","0600","","HU","13.6N","61.0W","115","948","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","ALLEN"
"68","19800804","1200","","HU","14.0N","63.0W","125","945","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","ALLEN"
"69","19800804","1800","","HU","14.4N","64.9W","130","930","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","ALLEN"
"70","19800805","0000","","HU","14.8N","66.7W","140","911","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","ALLEN"
"71","19800805","0600","","HU","15.4N","68.6W","145","916","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","ALLEN"
"72","19800805","1200","","HU","15.9N","70.5W","155","932","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","ALLEN"
"73","19800805","1800","","HU","16.5N","72.3W","150","940","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","ALLEN"
"74","19800806","0000","","HU","17.8N","73.8W","140","945","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","ALLEN"
"75","19800806","0600","","HU","18.3N","75.9W","115","955","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","ALLEN"
"76","19800806","1200","","HU","19.2N","78.0W","115","955","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","ALLEN"
"77","19800806","1800","","HU","20.0N","80.1W","125","955","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","ALLEN"
"78","19800807","0000","","HU","20.1N","81.9W","135","945","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","ALLEN"
"79","19800807","0600","","HU","20.4N","83.6W","145","935","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","ALLEN"
"80","19800807","1200","","HU","21.0N","84.8W","155","910","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","ALLEN"
"81","19800807","1800","","HU","21.8N","86.4W","165","899","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","ALLEN"
"82","19800808","0000","","HU","22.2N","87.9W","155","920","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","ALLEN"
"83","19800808","0600","","HU","22.8N","89.2W","130","945","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","ALLEN"
"84","19800808","1200","","HU","23.4N","90.5W","115","960","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","ALLEN"
"85","19800808","1800","","HU","23.9N","91.8W","130","940","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","ALLEN"
"86","19800809","0000","","HU","24.5N","93.0W","145","912","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","ALLEN"
